Indicator origin,Indicator,Sex,Age group,Application,Assumption,Source,Year,Notes
POPPI,Living alone,Female,85-89,National prevalence applied,0.5,ONS (Labour Force Survey),2017,"Figures are taken from the Labour Force Survey (2017), Office for National Statistics, Table 6: People living alone by age and sex, UK 1996-2017. For those aged 65 and over, the larger proportion of those living alone were female (66.5%). This is partly because there are more women than men in the total population aged 65 and over due to women’s higher life expectancy. By the age of 65, most women have been married and husbands are typically older than their wives. These two factors mean that more women than men become widowed, which may lead to living alone. In spite of this, the number of widowed women is falling due to life expectancy increasing faster for men compared with women."
POPPI,Living alone,Female,90+,National prevalence applied,0.5,ONS (Labour Force Survey),2017,"Figures are taken from the Labour Force Survey (2017), Office for National Statistics, Table 6: People living alone by age and sex, UK 1996-2017. For those aged 65 and over, the larger proportion of those living alone were female (66.5%). This is partly because there are more women than men in the total population aged 65 and over due to women’s higher life expectancy. By the age of 65, most women have been married and husbands are typically older than their wives. These two factors mean that more women than men become widowed, which may lead to living alone. In spite of this, the number of widowed women is falling due to life expectancy increasing faster for men compared with women."
POPPI,Living in a care home,Male,65-69,Local prevalence applied,,Census - DC4210EWL,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Communal establishment management and type by sex by age, reference DC4210EWL. Numbers have been calculated by applying percentages of people living in care homes/nursing homes in 2011 to projected population figures."
POPPI,Living in a care home,Male,70-74,Local prevalence applied,,Census - DC4210EWL,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Communal establishment management and type by sex by age, reference DC4210EWL. Numbers have been calculated by applying percentages of people living in care homes/nursing homes in 2011 to projected population figures."
POPPI,Living in a care home,Male,75-79,Local prevalence applied,,Census - DC4210EWL,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Communal establishment management and type by sex by age, reference DC4210EWL. Numbers have been calculated by applying percentages of people living in care homes/nursing homes in 2011 to projected population figures."
POPPI,Living in a care home,Male,80-84,Local prevalence applied,,Census - DC4210EWL,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Communal establishment management and type by sex by age, reference DC4210EWL. Numbers have been calculated by applying percentages of people living in care homes/nursing homes in 2011 to projected population figures."
POPPI,Living in a care home,Male,85-89,Local prevalence applied,,Census - DC4210EWL,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Communal establishment management and type by sex by age, reference DC4210EWL. Numbers have been calculated by applying percentages of people living in care homes/nursing homes in 2011 to projected population figures."
POPPI,Living in a care home,Male,90+,Local prevalence applied,,Census - DC4210EWL,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Communal establishment management and type by sex by age, reference DC4210EWL. Numbers have been calculated by applying percentages of people living in care homes/nursing homes in 2011 to projected population figures."
POPPI,Living in a care home,Female,65-69,Local prevalence applied,,Census - DC4210EWL,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Communal establishment management and type by sex by age, reference DC4210EWL. Numbers have been calculated by applying percentages of people living in care homes/nursing homes in 2011 to projected population figures."
POPPI,Living in a care home,Female,70-74,Local prevalence applied,,Census - DC4210EWL,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Communal establishment management and type by sex by age, reference DC4210EWL. Numbers have been calculated by applying percentages of people living in care homes/nursing homes in 2011 to projected population figures."
POPPI,Living in a care home,Female,75-79,Local prevalence applied,,Census - DC4210EWL,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Communal establishment management and type by sex by age, reference DC4210EWL. Numbers have been calculated by applying percentages of people living in care homes/nursing homes in 2011 to projected population figures."
POPPI,Living in a care home,Female,80-84,Local prevalence applied,,Census - DC4210EWL,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Communal establishment management and type by sex by age, reference DC4210EWL. Numbers have been calculated by applying percentages of people living in care homes/nursing homes in 2011 to projected population figures."
POPPI,Living in a care home,Female,85-89,Local prevalence applied,,Census - DC4210EWL,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Communal establishment management and type by sex by age, reference DC4210EWL. Numbers have been calculated by applying percentages of people living in care homes/nursing homes in 2011 to projected population figures."
POPPI,Living in a care home,Female,90+,Local prevalence applied,,Census - DC4210EWL,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Communal establishment management and type by sex by age, reference DC4210EWL. Numbers have been calculated by applying percentages of people living in care homes/nursing homes in 2011 to projected population figures."
POPPI,Needing support with domestic tasks,Male,65-69,National prevalence applied,0.15,Health Survey for England,2017,"Instrumental Activities of Daily Living (IADLs) are activities which, while not fundamental to functioning, are important aspects of living independently: Doing routine housework or laundry, Shopping for food, Getting out of the house, Doing paperwork or paying bills. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex."
POPPI,Needing support with domestic tasks,Male,70-74,National prevalence applied,0.19,Health Survey for England,2017,"Instrumental Activities of Daily Living (IADLs) are activities which, while not fundamental to functioning, are important aspects of living independently: Doing routine housework or laundry, Shopping for food, Getting out of the house, Doing paperwork or paying bills. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex."
POPPI,Needing support with domestic tasks,Male,75-79,National prevalence applied,0.27,Health Survey for England,2017,"Instrumental Activities of Daily Living (IADLs) are activities which, while not fundamental to functioning, are important aspects of living independently: Doing routine housework or laundry, Shopping for food, Getting out of the house, Doing paperwork or paying bills. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex."
POPPI,Needing support with domestic tasks,Male,80-84,National prevalence applied,0.33,Health Survey for England,2017,"Instrumental Activities of Daily Living (IADLs) are activities which, while not fundamental to functioning, are important aspects of living independently: Doing routine housework or laundry, Shopping for food, Getting out of the house, Doing paperwork or paying bills. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex."
POPPI,Needing support with domestic tasks,Male,85-89,National prevalence applied,0.33,Health Survey for England,2017,"Instrumental Activities of Daily Living (IADLs) are activities which, while not fundamental to functioning, are important aspects of living independently: Doing routine housework or laundry, Shopping for food, Getting out of the house, Doing paperwork or paying bills. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex."
POPPI,Needing support with domestic tasks,Male,90+,National prevalence applied,0.33,Health Survey for England,2017,"Instrumental Activities of Daily Living (IADLs) are activities which, while not fundamental to functioning, are important aspects of living independently: Doing routine housework or laundry, Shopping for food, Getting out of the house, Doing paperwork or paying bills. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex."
POPPI,Needing support with domestic tasks,Female,65-69,National prevalence applied,0.19,Health Survey for England,2017,"Instrumental Activities of Daily Living (IADLs) are activities which, while not fundamental to functioning, are important aspects of living independently: Doing routine housework or laundry, Shopping for food, Getting out of the house, Doing paperwork or paying bills. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex."
POPPI,Needing support with domestic tasks,Female,70-74,National prevalence applied,0.23,Health Survey for England,2017,"Instrumental Activities of Daily Living (IADLs) are activities which, while not fundamental to functioning, are important aspects of living independently: Doing routine housework or laundry, Shopping for food, Getting out of the house, Doing paperwork or paying bills. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex."
POPPI,Needing support with domestic tasks,Female,75-79,National prevalence applied,0.34,Health Survey for England,2017,"Instrumental Activities of Daily Living (IADLs) are activities which, while not fundamental to functioning, are important aspects of living independently: Doing routine housework or laundry, Shopping for food, Getting out of the house, Doing paperwork or paying bills. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex."
POPPI,Needing support with domestic tasks,Female,80-84,National prevalence applied,0.55,Health Survey for England,2017,"Instrumental Activities of Daily Living (IADLs) are activities which, while not fundamental to functioning, are important aspects of living independently: Doing routine housework or laundry, Shopping for food, Getting out of the house, Doing paperwork or paying bills. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex."
POPPI,Needing support with domestic tasks,Female,85-89,National prevalence applied,0.55,Health Survey for England,2017,"Instrumental Activities of Daily Living (IADLs) are activities which, while not fundamental to functioning, are important aspects of living independently: Doing routine housework or laundry, Shopping for food, Getting out of the house, Doing paperwork or paying bills. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex."
POPPI,Needing support with domestic tasks,Female,90+,National prevalence applied,0.55,Health Survey for England,2017,"Instrumental Activities of Daily Living (IADLs) are activities which, while not fundamental to functioning, are important aspects of living independently: Doing routine housework or laundry, Shopping for food, Getting out of the house, Doing paperwork or paying bills. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex."
POPPI,Needing support with self-care,Male,65-69,National prevalence applied,0.16,Health Survey for England,2017,"Activities of Daily Living (ADLs) are activities relating to personal care and mobility about the home that are basic to daily living: Having a bath or shower, Using the toilet, Getting up and down stairs, Getting around indoors, Dressing or undressing, Getting in and out of bed, Washing face and hands, Eating, including cutting up food, Taking medicine. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex"
POPPI,Needing support with self-care,Male,70-74,National prevalence applied,0.21,Health Survey for England,2017,"Activities of Daily Living (ADLs) are activities relating to personal care and mobility about the home that are basic to daily living: Having a bath or shower, Using the toilet, Getting up and down stairs, Getting around indoors, Dressing or undressing, Getting in and out of bed, Washing face and hands, Eating, including cutting up food, Taking medicine. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex"
POPPI,Needing support with self-care,Male,75-79,National prevalence applied,0.28,Health Survey for England,2017,"Activities of Daily Living (ADLs) are activities relating to personal care and mobility about the home that are basic to daily living: Having a bath or shower, Using the toilet, Getting up and down stairs, Getting around indoors, Dressing or undressing, Getting in and out of bed, Washing face and hands, Eating, including cutting up food, Taking medicine. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex"
POPPI,Needing support with self-care,Male,80-84,National prevalence applied,0.35,Health Survey for England,2017,"Activities of Daily Living (ADLs) are activities relating to personal care and mobility about the home that are basic to daily living: Having a bath or shower, Using the toilet, Getting up and down stairs, Getting around indoors, Dressing or undressing, Getting in and out of bed, Washing face and hands, Eating, including cutting up food, Taking medicine. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex"
POPPI,Needing support with self-care,Male,85-89,National prevalence applied,0.35,Health Survey for England,2017,"Activities of Daily Living (ADLs) are activities relating to personal care and mobility about the home that are basic to daily living: Having a bath or shower, Using the toilet, Getting up and down stairs, Getting around indoors, Dressing or undressing, Getting in and out of bed, Washing face and hands, Eating, including cutting up food, Taking medicine. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex"
POPPI,Needing support with self-care,Male,90+,National prevalence applied,0.35,Health Survey for England,2017,"Activities of Daily Living (ADLs) are activities relating to personal care and mobility about the home that are basic to daily living: Having a bath or shower, Using the toilet, Getting up and down stairs, Getting around indoors, Dressing or undressing, Getting in and out of bed, Washing face and hands, Eating, including cutting up food, Taking medicine. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex"
POPPI,Needing support with self-care,Female,65-69,National prevalence applied,0.22,Health Survey for England,2017,"Activities of Daily Living (ADLs) are activities relating to personal care and mobility about the home that are basic to daily living: Having a bath or shower, Using the toilet, Getting up and down stairs, Getting around indoors, Dressing or undressing, Getting in and out of bed, Washing face and hands, Eating, including cutting up food, Taking medicine. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex"
POPPI,Needing support with self-care,Female,70-74,National prevalence applied,0.24,Health Survey for England,2017,"Activities of Daily Living (ADLs) are activities relating to personal care and mobility about the home that are basic to daily living: Having a bath or shower, Using the toilet, Getting up and down stairs, Getting around indoors, Dressing or undressing, Getting in and out of bed, Washing face and hands, Eating, including cutting up food, Taking medicine. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex"
POPPI,Needing support with self-care,Female,75-79,National prevalence applied,0.29,Health Survey for England,2017,"Activities of Daily Living (ADLs) are activities relating to personal care and mobility about the home that are basic to daily living: Having a bath or shower, Using the toilet, Getting up and down stairs, Getting around indoors, Dressing or undressing, Getting in and out of bed, Washing face and hands, Eating, including cutting up food, Taking medicine. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex"
POPPI,Needing support with self-care,Female,80-84,National prevalence applied,0.49,Health Survey for England,2017,"Activities of Daily Living (ADLs) are activities relating to personal care and mobility about the home that are basic to daily living: Having a bath or shower, Using the toilet, Getting up and down stairs, Getting around indoors, Dressing or undressing, Getting in and out of bed, Washing face and hands, Eating, including cutting up food, Taking medicine. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex"
POPPI,Needing support with self-care,Female,85-89,National prevalence applied,0.49,Health Survey for England,2017,"Activities of Daily Living (ADLs) are activities relating to personal care and mobility about the home that are basic to daily living: Having a bath or shower, Using the toilet, Getting up and down stairs, Getting around indoors, Dressing or undressing, Getting in and out of bed, Washing face and hands, Eating, including cutting up food, Taking medicine. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex"
POPPI,Needing support with self-care,Female,90+,National prevalence applied,0.49,Health Survey for England,2017,"Activities of Daily Living (ADLs) are activities relating to personal care and mobility about the home that are basic to daily living: Having a bath or shower, Using the toilet, Getting up and down stairs, Getting around indoors, Dressing or undressing, Getting in and out of bed, Washing face and hands, Eating, including cutting up food, Taking medicine. For each task, participants aged 65 and over were asked whether they could carry out the activity on their own, or whether they needed help (i.e. manage on their own with difficulty, only do the activity with help, or could not do at all). Figures are taken from the Health Survey for England 2016: Social care for older adults (2017) NHS Digital, Table 4: Summary of Activities of Daily Living (ADLs/IADLs) for which help was needed and received in the last month, 2011-2016, by age and sex"
POPPI,Limiting long term illness,Male,65-69,Local prevalence applied,,Census - DC3302EW,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Long term health problem or disability by health by sex by age, reference DC3302EW."
POPPI,Limiting long term illness,Male,70-74,Local prevalence applied,,Census - DC3302EW,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Long term health problem or disability by health by sex by age, reference DC3302EW."
POPPI,Limiting long term illness,Male,75-79,Local prevalence applied,,Census - DC3302EW,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Long term health problem or disability by health by sex by age, reference DC3302EW."
POPPI,Limiting long term illness,Male,80-84,Local prevalence applied,,Census - DC3302EW,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Long term health problem or disability by health by sex by age, reference DC3302EW."
POPPI,Limiting long term illness,Male,85-89,Local prevalence applied,,Census - DC3302EW,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Long term health problem or disability by health by sex by age, reference DC3302EW."
POPPI,Limiting long term illness,Male,90+,Local prevalence applied,,Census - DC3302EW,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Long term health problem or disability by health by sex by age, reference DC3302EW."
POPPI,Limiting long term illness,Female,65-69,Local prevalence applied,,Census - DC3302EW,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Long term health problem or disability by health by sex by age, reference DC3302EW."
POPPI,Limiting long term illness,Female,70-74,Local prevalence applied,,Census - DC3302EW,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Long term health problem or disability by health by sex by age, reference DC3302EW."
POPPI,Limiting long term illness,Female,75-79,Local prevalence applied,,Census - DC3302EW,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Long term health problem or disability by health by sex by age, reference DC3302EW."
POPPI,Limiting long term illness,Female,80-84,Local prevalence applied,,Census - DC3302EW,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Long term health problem or disability by health by sex by age, reference DC3302EW."
POPPI,Limiting long term illness,Female,85-89,Local prevalence applied,,Census - DC3302EW,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Long term health problem or disability by health by sex by age, reference DC3302EW."
POPPI,Limiting long term illness,Female,90+,Local prevalence applied,,Census - DC3302EW,2011,"Figures are taken from Office for National Statistics (ONS) 2011 Census, Long term health problem or disability by health by sex by age, reference DC3302EW."
POPPI,Dementia,Male,65-69,National prevalence applied,0.015,Dementia UK,2014,"Figures are taken from Dementia UK: Update (2014) prepared by King’s College London and the London School of Economics for the Alzheimer’s Society. This report updates the Dementia UK (2007) report. It provides a synthesis of best available evidence for the current cost and prevalence of dementia. It aims to provide an accurate understanding of dementia prevalence and cost in the UK to assist in policy development, influencing, commissioning and service design. To calculate the prevalence rates for the 90+ population, rates from the research for the 90-94 and 95+ age groups have been applied to the England population 2013 (when the research was undertaken) to calculate the numbers in each age group, the sum of these groups is then expressed as a percentage of the total 90+ population to establish the predicted prevalence of the 90+ population as a whole."
POPPI,Dementia,Male,70-74,National prevalence applied,0.031,Dementia UK,2014,"Figures are taken from Dementia UK: Update (2014) prepared by King’s College London and the London School of Economics for the Alzheimer’s Society. This report updates the Dementia UK (2007) report. It provides a synthesis of best available evidence for the current cost and prevalence of dementia. It aims to provide an accurate understanding of dementia prevalence and cost in the UK to assist in policy development, influencing, commissioning and service design. To calculate the prevalence rates for the 90+ population, rates from the research for the 90-94 and 95+ age groups have been applied to the England population 2013 (when the research was undertaken) to calculate the numbers in each age group, the sum of these groups is then expressed as a percentage of the total 90+ population to establish the predicted prevalence of the 90+ population as a whole."
